key,translation,options,desc_en,desc_vi,chapter,status,notes
simulation,mô phỏng,đào tạo mô phỏng | thực hành giả lập,A training method that places employees in situations similar to their real job environments to practice skills.,Phương pháp đào tạo đặt nhân viên vào các tình huống tương tự môi trường làm việc thực tế của họ để thực hành kỹ năng.,chapter-8,confirmed,
succession planning,lập kế hoạch kế nhiệm,quy hoạch đội ngũ kế cận,The process of identifying and developing future leaders to fill key roles in the organization.,Quá trình xác định và phát triển các nhà lãnh đạo tương lai để đảm nhận các vai trò chủ chốt trong tổ chức.,chapter-8,confirmed,
training and development,đào tạo và phát triển,L&D | huấn luyện và phát triển,"Programs designed to improve employee skills, knowledge, and abilities to enhance current and future job performance.","Các chương trình được thiết kế nhằm cải thiện kỹ năng, kiến thức và khả năng của nhân viên nhằm nâng cao hiệu quả làm việc hiện tại và tương lai.",chapter-8,confirmed,
unemployment compensation,trợ cấp thất nghiệp,bảo hiểm thất nghiệp | tiền trợ cấp thất nghiệp,Government-sponsored financial support paid to workers who have lost their jobs through no fault of their own.,Khoản hỗ trợ tài chính do chính phủ tài trợ trả cho những người lao động bị mất việc làm mà không phải do lỗi của họ.,chapter-8,confirmed,
union shop,nơi làm việc bắt buộc gia nhập nghiệp đoàn,xưởng nghiệp đoàn | chế độ nghiệp đoàn bắt buộc,A workplace where employees must join the union within a specified period (usually 30 to 90 days) after being hired.,Nơi làm việc quy định nhân viên phải gia nhập nghiệp đoàn trong một khoảng thời gian nhất định (thường là 30 đến 90 ngày) sau khi được tuyển dụng.,chapter-8,confirmed,
worker’s compensation,bồi thường tai nạn lao động,trợ cấp tai nạn lao động | bảo hiểm tai nạn lao động,State-mandated insurance programs that provide benefits to workers injured on the job.,Các chương trình bảo hiểm theo quy định của tiểu bang nhằm cung cấp quyền lợi cho người lao động bị thương khi làm việc.,chapter-8,confirmed,
allegheny ludlum,Allegheny Ludlum,,,,11,approved,"Tên riêng, không dịch"
amazon music,Amazon Music,,,,11,approved,"Tên riêng, không dịch"
american airlines,American Airlines,,,,11,approved,"Tên riêng, không dịch"
american express,American Express,,,,11,approved,"Tên riêng, không dịch"
american heart association,American Heart Association,,,,11,approved,"Tên riêng, không dịch"
american red cross,American Red Cross,,,,11,approved,"Tên riêng, không dịch"
apple,Apple,,,,11,approved,"Tên riêng, không dịch"
arbitron,Arbitron,,,,11,approved,"Tên riêng, không dịch"
avon,Avon,,,,11,approved,"Tên riêng, không dịch"
bell labs,Bell Labs,,,,11,approved,"Tên riêng, không dịch"
benefit segmentation,phân khúc theo lợi ích,phân đoạn thị trường theo lợi ích,The differentiation of markets based on what a product will do rather than on customer characteristics.,Việc phân chia thị trường dựa trên những gì sản phẩm mang lại hơn là dựa trên các đặc điểm của khách hàng.,11,approved,
big data,dữ liệu lớn,Big Data,Large data sets and systems and solutions developed to manage large accumulations of data.,Các bộ dữ liệu lớn cùng với các hệ thống và giải pháp được phát triển để quản lý lượng tích lũy dữ liệu khổng lồ.,11,approved,
black &amp; decker,Black &amp; Decker,,,,11,approved,"Tên riêng, không dịch"
bmw,BMW,,,,11,approved,"Tên riêng, không dịch"
brainstorming,động não,thảo luận ý tưởng ; động não kịch liệt,A method of generating ideas in which group members suggest as many possibilities as they can without criticizing or evaluating any of the suggestions.,Phương pháp tạo ý tưởng trong đó các thành viên nhóm đề xuất nhiều khả năng nhất có thể mà không phê bình hay đánh giá bất kỳ đề xuất nào.,11,approved,
bundling,bán gói,đóng gói sản phẩm ; bán kèm,The strategy of grouping two or more related products together and pricing them as a single product.,Chiến lược gộp hai hoặc nhiều sản phẩm liên quan lại với nhau và định giá chúng như một sản phẩm duy nhất.,11,approved,
buyer behavior,hành vi người mua,hành vi mua hàng,The actions people take in buying and using goods and services.,Các hành động của con người khi mua và sử dụng hàng hóa cũng như dịch vụ.,11,approved,
california pizza kitchen,California Pizza Kitchen,,,,11,approved,"Tên riêng, không dịch"
campbell soup,Campbell Soup,,,,11,approved,"Tên riêng, không dịch"
capital products,sản phẩm tư bản,hàng hóa tư bản ; tư liệu sản xuất,"Large, expensive items with a long life span that are purchased by businesses for use in making other products or providing a service.","Các mặt hàng lớn, đắt tiền, có tuổi thọ cao được doanh nghiệp mua để sử dụng trong việc sản xuất sản phẩm khác hoặc cung cấp dịch vụ.",11,approved,
carnival cruise lines,Carnival Cruise Lines,,,,11,approved,"Tên riêng, không dịch"
caterpillar,Caterpillar,,,,11,approved,"Tên riêng, không dịch"
citicorp,Citicorp,,,,11,approved,"Tên riêng, không dịch"
clinique,Clinique,,,,11,approved,"Tên riêng, không dịch"
coke,Coke,,,,11,approved,"Tên riêng, không dịch"
convenience products,sản phẩm tiện lợi,hàng hóa tiện lợi,Relatively inexpensive items that require little shopping effort and are purchased routinely without planning.,"Các mặt hàng tương đối rẻ, đòi hỏi ít nỗ lực mua sắm và được mua thường xuyên mà không cần lập kế hoạch.",11,approved,
cost competitive advantage,lợi thế cạnh tranh về chi phí,ưu thế cạnh tranh về chi phí,A firm’s ability to produce a product or service at a lower cost than all other competitors in an industry while maintaining satisfactory profit margins.,Khả năng của một doanh nghiệp trong việc sản xuất sản phẩm hoặc dịch vụ với chi phí thấp hơn tất cả các đối thủ cạnh tranh khác trong ngành mà vẫn duy trì được biên lợi nhuận thỏa đáng.,11,approved,
costco,Costco,,,,11,approved,"Tên riêng, không dịch"
coty,Coty,,,,11,approved,"Tên riêng, không dịch"
cover girl,Cover Girl,,,,11,approved,"Tên riêng, không dịch"
crest,Crest,,,,11,approved,"Tên riêng, không dịch"
culture,văn hóa,,"The set of values, ideas, attitudes, and other symbols created to shape human behavior.","Tập hợp các giá trị, ý tưởng, thái độ và các biểu tượng khác được tạo ra để định hình hành vi của con người.",11,approved,
customer satisfaction,sự hài lòng của khách hàng,sự thỏa mãn của khách hàng,The customer’s feeling that a product has met or exceeded expectations.,Cảm nhận của khách hàng rằng một sản phẩm đã đáp ứng hoặc vượt quá sự mong đợi.,11,approved,
customer value,giá trị khách hàng,giá trị dành cho khách hàng,"The ratio of benefits to the sacrifice necessary to obtain those benefits, as determined by the customer; reflects the willingness of customers to actually buy a product.","Tỷ lệ giữa lợi ích nhận được và sự đánh đổi cần thiết để có được những lợi ích đó, do khách hàng xác định; phản ánh sự sẵn lòng mua sản phẩm của khách hàng trên thực tế.",11,approved,
demographic segmentation,phân khúc theo nhân khẩu học,phân đoạn thị trường theo nhân khẩu học,"The differentiation of markets through the use of categories such as age, education, gender, income, and household size.","Việc phân chia thị trường thông qua việc sử dụng các danh mục như độ tuổi, trình độ học vấn, giới tính, thu nhập và quy mô hộ gia đình.",11,approved,
differential competitive advantage,lợi thế cạnh tranh khác biệt,ưu thế cạnh tranh khác biệt,A firm’s ability to provide a unique product or service with a set of features that the target market perceives as important and better than the competitor’s.,Khả năng của một doanh nghiệp trong việc cung cấp một sản phẩm hoặc dịch vụ độc đáo với tập hợp các tính năng mà thị trường mục tiêu nhận thức là quan trọng và tốt hơn so với đối thủ cạnh tranh.,11,approved,
disney,Disney,,,,11,approved,"Tên riêng, không dịch"
dow,Dow,,,,11,approved,"Tên riêng, không dịch"
dynamic pricing,định giá động,định giá linh hoạt,Computer algorithms that allow for prices to change based on demand.,Các thuật toán máy tính cho phép thay đổi giá dựa trên nhu cầu.,11,approved,
enterprise rent-a-car,Enterprise Rent-A-Car,,,,11,approved,"Tên riêng, không dịch"
environmental scanning,tầm soát môi trường,quét môi trường ; phân tích môi trường,The process in which a firm continually collects and evaluates information about its external environment.,Quá trình doanh nghiệp liên tục thu thập và đánh giá thông tin về môi trường bên ngoài của mình.,11,approved,
estée lauder,Estée Lauder,,,,11,approved,"Tên riêng, không dịch"
exchange,trao đổi,giao dịch trao đổi,The process in which two parties give something of value to each other to satisfy their respective needs.,Quá trình hai bên trao cho nhau thứ gì đó có giá trị để thỏa mãn nhu cầu tương ứng của họ.,11,approved,
expense items,chi phí vận hành,hạng mục chi phí ; vật tư tiêu hao,Items (purchased by businesses) that are smaller and less expensive than capital products and usually have a life span of less than one year.,Các mặt hàng (được doanh nghiệp mua) nhỏ hơn và ít tốn kém hơn sản phẩm tư bản và thường có tuổi thọ dưới một năm.,11,approved,
experiment,thực nghiệm,thử nghiệm ; phương pháp thực nghiệm,"A marketing research method in which the investigator changes one or more variables—price, packaging, design, shelf space, advertising theme, or advertising expenditures—while observing the effects of these changes on another variable (usually sales).","Phương pháp nghiên cứu tiếp thị trong đó nhà nghiên cứu thay đổi một hoặc nhiều biến số—như giá cả, bao bì, thiết kế, không gian trưng bày, chủ đề quảng cáo hoặc chi phí quảng cáo—đồng thời quan sát tác động của những thay đổi này lên một biến số khác (thường là doanh số).",11,approved,
facebook,Facebook,,,,11,approved,"Tên riêng, không dịch"
federal express,Federal Express,,,,11,approved,"Tên riêng, không dịch"
five ps,Mô hình 5P,5P tiếp thị ; năm chữ P,"The traditional 4Ps of marketing: product, price, promotion, place (distribution), now with people added as a key marketing component, which together make up the marketing mix.","Mô hình 4P truyền thống của tiếp thị gồm: sản phẩm, giá cả, chiêu thị, phân phối, nay được bổ sung thêm con người như một thành phần tiếp thị cốt lõi, cùng nhau tạo nên hỗn hợp tiếp thị (marketing mix).",11,approved,
focus group,nhóm tập trung,thảo luận nhóm tập trung ; nhóm thảo luận,A group of eight to 12 participants led by a moderator in an in-depth discussion on one particular topic or concept.,Một nhóm từ tám đến 12 người tham gia dưới sự dẫn dắt của một người điều phối để thảo luận chuyên sâu về một chủ đề hoặc khái niệm cụ thể.,11,approved,
ford,Ford,,,,11,approved,"Tên riêng, không dịch"
gallo,Gallo,,,,11,approved,"Tên riêng, không dịch"
general motors,General Motors,,,,11,approved,"Tên riêng, không dịch"
geographic segmentation,phân khúc theo địa lý,phân đoạn thị trường theo địa lý,"The differentiation of markets by region of the country, city or county size, market density, or climate.","Việc phân chia thị trường theo vùng miền của đất nước, quy mô thành phố hoặc quận huyện, mật độ thị trường hoặc khí hậu.",11,approved,
hallmark,Hallmark,,,,11,approved,"Tên riêng, không dịch"
harley-davidson,Harley-Davidson,,,,11,approved,"Tên riêng, không dịch"
hewlett-packard,Hewlett-Packard,,,,11,approved,"Tên riêng, không dịch"
home depot,Home Depot,,,,11,approved,"Tên riêng, không dịch"
honda,Honda,,,,11,approved,"Tên riêng, không dịch"
inglenook,Inglenook,,,,11,approved,"Tên riêng, không dịch"
insignia,Insignia,,,,11,approved,"Tên riêng, không dịch"
kimberly clark,Kimberly Clark,,,,11,approved,"Tên riêng, không dịch"
kraft,Kraft,,,,11,approved,"Tên riêng, không dịch"
leader pricing,định giá dẫn dụ,định giá dẫn khách ; định giá mồi,The strategy of pricing products below the normal markup or even below cost to attract customers to a store where they would not otherwise shop.,Chiến lược đặt giá sản phẩm thấp hơn mức thặng số thông thường hoặc thậm chí dưới giá vốn để thu hút khách hàng đến một cửa hàng mà bình thường họ sẽ không vào mua sắm.,11,approved,
line extension,mở rộng dòng sản phẩm,mở rộng tuyến sản phẩm,"A new flavor, size, or model using an existing brand name in an existing category.","Hương vị, kích thước hoặc kiểu dáng mới sử dụng tên thương hiệu hiện có trong một danh mục sản phẩm hiện có.",11,approved,
loss leader,sản phẩm lỗ dẫn dụ,mặt hàng bán lỗ câu khách ; sản phẩm mồi chịu lỗ,A product priced below cost as part of a leader-pricing strategy.,Một sản phẩm được định giá dưới giá vốn như một phần của chiến lược định giá dẫn dụ.,11,approved,
market segmentation,phân khúc thị trường,phân đoạn thị trường,"The process of separating, identifying, and evaluating the layers of a market in order to identify a target market.","Quá trình phân tách, xác định và đánh giá các tầng lớp của thị trường nhằm xác định thị trường mục tiêu.",11,approved,
marketing,tiếp thị,marketing,The process of discovering the needs and wants of potential buyers and customers and then providing goods and services that meet or exceed their expectations.,"Quá trình khám phá nhu cầu và mong muốn của người mua và khách hàng tiềm năng, sau đó cung cấp hàng hóa và dịch vụ đáp ứng hoặc vượt quá sự mong đợi của họ.",11,approved,
marketing concept,triết lý tiếp thị,khái niệm tiếp thị ; khái niệm marketing,Identifying consumer needs and then producing the goods or services that will satisfy them while making a profit for the organization.,"Việc xác định nhu cầu của người tiêu dùng và sau đó sản xuất hàng hóa hoặc dịch vụ đáp ứng chúng, đồng thời tạo ra lợi nhuận cho tổ chức.",11,approved,
marketing database,cơ sở dữ liệu tiếp thị,cơ sở dữ liệu marketing,Computerized file of customers’ and potential customers’ profiles and purchase patterns.,Tệp máy tính hóa chứa hồ sơ thông tin và thói quen mua sắm của khách hàng hiện tại và khách hàng tiềm năng.,11,approved,
marketing mix,tiếp thị hỗn hợp,marketing mix ; hỗn hợp tiếp thị,"The blend of product offering, pricing, promotional methods, distribution system, and strategies for utilizing people that creates an offering that brings a specific group of consumers superior value.","Sự kết hợp giữa sản phẩm cung cấp, giá cả, phương pháp chiêu thị, hệ thống phân phối và các chiến lược sử dụng con người để tạo ra một gói cung cấp mang lại giá trị vượt trội cho một nhóm người tiêu dùng cụ thể.",11,approved,
marketing research,nghiên cứu tiếp thị,nghiên cứu marketing,"The process of planning, collecting, and analyzing data relevant to a marketing decision.","Quá trình lập kế hoạch, thu thập và phân tích dữ liệu có liên quan đến một quyết định tiếp thị.",11,approved,
mars,Mars,,,,11,approved,"Tên riêng, không dịch"
mckinsey,McKinsey,,,,11,approved,"Tên riêng, không dịch"
microsoft,Microsoft,,,,11,approved,"Tên riêng, không dịch"
minolta,Minolta,,,,11,approved,"Tên riêng, không dịch"
museum of science and industry,Museum of Science and Industry,,,,11,approved,"Tên riêng, không dịch"
music row private bank,Music Row Private Bank,,,,11,approved,"Tên riêng, không dịch"
neiman marcus,Neiman Marcus,,,,11,approved,"Tên riêng, không dịch"
neiman-marcus,Neiman-Marcus,,,,11,approved,"Tên riêng, không dịch"
netflix,Netflix,,,,11,approved,"Tên riêng, không dịch"
niche competitive advantage,lợi thế cạnh tranh thị trường ngách,ưu thế cạnh tranh ngách,"A firm’s ability to target and effectively serve a single segment of the market, often within a limited geographic area.","Khả năng của một doanh nghiệp trong việc nhắm mục tiêu và phục vụ hiệu quả một phân khúc thị trường duy nhất, thường là trong một khu vực địa lý hạn chế.",11,approved,
novartis seeds,Novartis Seeds,,,,11,approved,"Tên riêng, không dịch"
observation research,nghiên cứu quan sát,phương pháp quan sát,"A marketing research method in which the investigator monitors respondents’ actions without interacting directly with the respondents; for example, by using cash registers with scanners.",Phương pháp nghiên cứu tiếp thị trong đó nhà nghiên cứu giám sát các hành động của đối tượng phản hồi mà không tương tác trực tiếp với họ; ví dụ như sử dụng máy tính tiền có đầu quét.,11,approved,
odd-even pricing,định giá lẻ-chẵn,định giá chẵn-lẻ ; định giá tâm lý lẻ-chẵn,The strategy of setting a price at an odd number to connote a bargain and at an even number to suggest quality.,Chiến lược đặt giá ở số lẻ để tạo cảm giác giá rẻ và số chẵn để gợi ý chất lượng cao.,11,approved,
olive garden,Olive Garden,,,,11,approved,"Tên riêng, không dịch"
one-to-one marketing,tiếp thị một-đối-một,tiếp thị cá nhân hóa,Creating a unique marketing mix for every customer.,Việc tạo ra một hỗn hợp tiếp thị độc đáo cho từng khách hàng riêng biệt.,11,approved,
overstock.com,Overstock.com,,,,11,approved,"Tên riêng, không dịch"
panasonic,Panasonic,,,,11,approved,"Tên riêng, không dịch"
pandora,Pandora,,,,11,approved,"Tên riêng, không dịch"
penetration pricing,định giá thâm nhập,định giá thâm nhập thị trường,The strategy of selling new products at low prices in the hope of achieving a large sales volume.,Chiến lược bán sản phẩm mới ở mức giá thấp với hy vọng đạt được khối lượng bán hàng lớn.,11,approved,
pepsi,Pepsi,,,,11,approved,"Tên riêng, không dịch"
personality,cá tính,tính cách ; nhân cách,A way of organizing and grouping how an individual reacts to situations.,Cách thức tổ chức và phân nhóm các phản ứng của một cá nhân đối với các tình huống.,11,approved,
pinterest,Pinterest,,,,11,approved,"Tên riêng, không dịch"
pizza hut,Pizza Hut,,,,11,approved,"Tên riêng, không dịch"
place (distribution) strategy,chiến lược phân phối,chiến lược địa điểm ; chiến lược phân phối (địa điểm),Creating the means by which products flow from the producer to the consumer.,Việc thiết lập các phương thức và phương tiện để sản phẩm lưu thông từ nhà sản xuất đến tay người tiêu dùng.,11,approved,
porsche,Porsche,,,,11,approved,"Tên riêng, không dịch"
prestige pricing,định giá uy tín,định giá cao cấp ; định giá nâng tầm thương hiệu,"The strategy of increasing the price of a product so that consumers will perceive it as being of higher quality, status, or value.","Chiến lược tăng giá sản phẩm để người tiêu dùng cảm nhận sản phẩm có chất lượng, địa vị hoặc giá trị cao hơn.",11,approved,
price skimming,định giá hớt váng,định giá hớt phần ngon ; hớt váng sữa,The strategy of introducing a product with a high initial price and lowering the price over time as the product moves through its life cycle.,Chiến lược giới thiệu sản phẩm với mức giá ban đầu cao rồi giảm dần theo thời gian khi sản phẩm đi qua chu kỳ sống của nó.,11,approved,
pricing strategy,chiến lược định giá,chiến lược giá,Setting a price based upon the demand for and cost of a good or service.,"Việc xác định giá bán dựa trên nhu cầu đối với hàng hóa, dịch vụ và chi phí để tạo ra chúng.",11,approved,
product,sản phẩm,,"In marketing, a good, service or idea, along with its perceived attributes and benefits, that creates value for the customer.","Trong tiếp thị, một hàng hóa, dịch vụ hoặc ý tưởng, cùng với các thuộc tính và lợi ích cảm nhận được của nó, tạo ra giá trị cho khách hàng.",11,approved,
product life cycle,chu kỳ sống của sản phẩm,vòng đời sản phẩm ; chu kỳ sống sản phẩm,"The pattern of sales and profits over time for a product or product category; consists of an introductory stage, growth stage, maturity, and decline (and death).","Mô hình doanh số và lợi nhuận theo thời gian của một sản phẩm hoặc danh mục sản phẩm; bao gồm giai đoạn giới thiệu, tăng trưởng, chín muồi và suy thoái (và biến mất).",11,approved,
product manager,quản lý sản phẩm,giám đốc sản phẩm,The person who develops and implements a complete strategy and marketing program for a specific product or brand.,Người chịu trách nhiệm phát triển và thực hiện toàn bộ chiến lược cũng như chương trình tiếp thị cho một sản phẩm hoặc thương hiệu cụ thể.,11,approved,
product strategy,chiến lược sản phẩm,,"Taking the good or service and selecting a brand name, packaging, colors, a warranty, accessories, and a service program.","Việc lấy hàng hóa hoặc dịch vụ và lựa chọn tên thương hiệu, bao bì, màu sắc, chế độ bảo hành, phụ kiện đi kèm và chương trình dịch vụ kèm theo.",11,approved,
promotion strategy,chiến lược chiêu thị,chiến lược quảng bá ; chiến lược khuyến mại,"The unique combination of personal selling, traditional advertising, publicity, sales promotion, social media, and e-commerce to stimulate the target market to buy a product. Sometimes referred to as the promotion mix.","Sự kết hợp độc đáo giữa bán hàng cá nhân, quảng cáo truyền thống, tuyên truyền, khuyến mại, mạng xã hội và thương mại điện tử nhằm kích thích thị trường mục tiêu mua sản phẩm. Đôi khi được gọi là hỗn hợp chiêu thị.",11,approved,
psychographic segmentation,phân khúc theo tâm lý học,phân khúc theo lối sống và cá tính ; phân đoạn theo tâm lý,The differentiation of markets by personality or lifestyle.,Việc phân chia thị trường theo cá tính hoặc lối sống của khách hàng.,11,approved,
psychological pricing,định giá tâm lý,chiến thuật định giá tâm lý,The strategy of setting a price at an odd number to connote a bargain and at an even number to suggest quality.,Chiến lược đặt giá nhằm tác động vào tâm lý của người tiêu dùng để thúc đẩy hành vi mua hàng (ví dụ: định giá lẻ như 99.000 đồng).,11,approved,
quaker oats,Quaker Oats,,,,11,approved,"Tên riêng, không dịch"
ralph lauren,Ralph Lauren,,,,11,approved,"Tên riêng, không dịch"
redken,Redken,,,,11,approved,"Tên riêng, không dịch"
reference groups,nhóm tham chiếu,nhóm tham khảo,Formal and informal groups that influence buyer behavior.,Các nhóm chính thức và phi chính thức có ảnh hưởng đến hành vi của người mua.,11,approved,
regions bank,Regions Bank,,,,11,approved,"Tên riêng, không dịch"
relationship marketing,tiếp thị mối quan hệ,marketing quan hệ,A strategy that focuses on forging long-term partnerships with customers by offering value and providing customer satisfaction.,Chiến lược tập trung vào việc tạo dựng mối quan hệ đối tác lâu dài với khách hàng bằng cách mang lại giá trị và sự hài lòng cho họ.,11,approved,
republic of tea,Republic of Tea,,,,11,approved,"Tên riêng, không dịch"
revlon,Revlon,,,,11,approved,"Tên riêng, không dịch"
sam’s club,Sam’s Club,,,,11,approved,"Tên riêng, không dịch"
samsung,Samsung,,,,11,approved,"Tên riêng, không dịch"
sharp,Sharp,,,,11,approved,"Tên riêng, không dịch"
shopify,Shopify,,,,11,approved,"Tên riêng, không dịch"
shopping products,sản phẩm mua sắm,hàng hóa mua sắm,"Items that are bought after considerable planning, including brand-to-brand and store-to-store comparisons of price, suitability, and style.","Các mặt hàng được mua sau khi đã lập kế hoạch kỹ lưỡng, bao gồm việc so sánh giữa các thương hiệu và cửa hàng về giá cả, mức độ phù hợp và kiểu dáng.",11,approved,
sony,Sony,,,,11,approved,"Tên riêng, không dịch"
southwest airlines,Southwest Airlines,,,,11,approved,"Tên riêng, không dịch"
specialty products,sản phẩm đặc biệt,hàng hóa đặc thù ; hàng hóa chuyên biệt,Items for which consumers search long and hard and for which they refuse to accept substitutes.,"Các mặt hàng mà người tiêu dùng phải tìm kiếm lâu công và kỹ lưỡng, đồng thời từ chối chấp nhận các sản phẩm thay thế khác.",11,approved,
spotify,Spotify,,,,11,approved,"Tên riêng, không dịch"
stouffer’s,Stouffer’s,,,,11,approved,"Tên riêng, không dịch"
stryker,Stryker,,,,11,approved,"Tên riêng, không dịch"
survey research,nghiên cứu khảo sát,khảo sát ý kiến,"A marketing research method in which data is gathered from respondents, either in person, by telephone, by mail, at a mall, or through the internet to obtain facts, opinions, and attitudes.","Phương pháp nghiên cứu tiếp thị trong đó dữ liệu được thu thập từ những người trả lời thông qua gặp mặt trực tiếp, điện thoại, thư điện tử, tại trung tâm thương mại hoặc qua internet để có được thông tin thực tế, ý kiến và thái độ của họ.",11,approved,
suzuki,Suzuki,,,,11,approved,"Tên riêng, không dịch"
target market,thị trường mục tiêu,thị trường đích,The specific group of consumers toward which a firm could direct its marketing efforts. It is often divided into segments so that marketing strategies can be directed to a more specific target.,Nhóm người tiêu dùng cụ thể mà doanh nghiệp hướng các nỗ lực tiếp thị của mình vào. Nhóm này thường được chia thành các phân khúc nhỏ để chiến lược tiếp thị nhắm đúng đối tượng hơn.,11,approved,
taylor california cellars,Taylor California Cellars,,,,11,approved,"Tên riêng, không dịch"
tesla,Tesla,,,,11,approved,"Tên riêng, không dịch"
test-marketing,thử nghiệm thị trường,tiếp thị thử nghiệm ; bán thử nghiệm,The process of testing a new product among potential users.,Quá trình kiểm tra một sản phẩm mới đối với những người dùng tiềm năng.,11,approved,
toyota,Toyota,,,,11,approved,"Tên riêng, không dịch"
u.s. navy,U.S. Navy,,,,11,approved,"Tên riêng, không dịch"
unsought products,sản phẩm mua ngoài ý muốn,sản phẩm không chủ định mua ; hàng hóa không mong đợi,"Products that either are not planned as a purchase by a potential buyer or are known but the buyer does not actively seek them, such as funeral services.","Các sản phẩm không nằm trong kế hoạch mua của người mua tiềm năng, hoặc đã được biết đến nhưng người mua không chủ động tìm kiếm chúng (ví dụ như dịch vụ tang lễ).",11,approved,
volume segmentation,phân khúc theo sản lượng,phân khúc theo lượng sử dụng,The differentiation of markets based on the amount of the product purchased.,Việc phân chia thị trường dựa trên số lượng hoặc sản lượng sản phẩm được mua.,11,approved,
wendy’s,Wendy’s,,,,11,approved,"Tên riêng, không dịch"
whirlpool,Whirlpool,,,,11,approved,"Tên riêng, không dịch"
williams sonoma,Williams Sonoma,,,,11,approved,"Tên riêng, không dịch"
5ps,5 chữ P,5 chữ P / mô hình 5P,,,12,confirmed,
advertising,quảng cáo,,,,12,confirmed,
advertising media,phương tiện quảng cáo,,,,12,confirmed,
agents,đại lý,,,,12,confirmed,
american cancer society,American Cancer Society,,,,12,confirmed,"Tên riêng, không dịch"
audience selectivity,tính chọn lọc khán giả,tính chọn lọc khán giả / khả năng chọn lọc đối tượng mục tiêu,,,12,confirmed,
bloomberg businessweek,Bloomberg Businessweek,,,,12,confirmed,"Tên riêng, không dịch"
breaking bulk,chia nhỏ lô hàng,chia nhỏ lô hàng / chia nhỏ hàng hóa,,,12,confirmed,
brokers,môi giới,,,,12,confirmed,
cabela’s,Cabela’s,,,,12,confirmed,"Tên riêng, không dịch"
campbell’s soups,Campbell’s soups,,,,12,confirmed,"Tên riêng, không dịch"
cbs,CBS,,,,12,confirmed,"Tên riêng, không dịch"
chamber of commerce,Chamber of Commerce,,,,12,confirmed,"Tên riêng, không dịch"
cheney university,Cheney University,,,,12,confirmed,"Tên riêng, không dịch"
chrysler,Chrysler,,,,12,confirmed,"Tên riêng, không dịch"
coca-cola,Coca-Cola,,,,12,confirmed,"Tên riêng, không dịch"
cost per thousand (cpm),chi phí trên mỗi nghìn lượt hiển thị (CPM),chi phí trên mỗi nghìn lượt hiển thị / CPM / chi phí mỗi ngàn lượt,,,12,confirmed,
dell,Dell,,,,12,confirmed,"Tên riêng, không dịch"
distribution,phân phối,,,,12,confirmed,
distribution channel,kênh phân phối,,,,12,confirmed,
dollar tree,Dollar Tree,,,,12,confirmed,"Tên riêng, không dịch"
domino’s,Domino’s,,,,12,confirmed,"Tên riêng, không dịch"
dropbox,Dropbox,,,,12,confirmed,"Tên riêng, không dịch"
e-commerce,thương mại điện tử,,,,12,confirmed,
ethan allen,Ethan Allen,,,,12,confirmed,"Tên riêng, không dịch"
fidelity investments,Fidelity Investments,,,,12,confirmed,"Tên riêng, không dịch"
forbes,Forbes,,,,12,confirmed,"Tên riêng, không dịch"
frequency,tần suất,,,,12,confirmed,
general mills,General Mills,,,,12,confirmed,"Tên riêng, không dịch"
industrial distributors,nhà phân phối công nghiệp,,,,12,confirmed,
integrated marketing communications (imc),truyền thông marketing tích hợp (IMC),truyền thông marketing tích hợp / IMC,,,12,confirmed,
kimberly-clark,Kimberly-Clark,,,,12,confirmed,"Tên riêng, không dịch"
kraft heinz,Kraft Heinz,,,,12,confirmed,"Tên riêng, không dịch"
macy’s,Macy’s,,,,12,confirmed,"Tên riêng, không dịch"
manufacturers’ representatives,đại diện nhà sản xuất,,,,12,confirmed,
marketing intermediaries,trung gian marketing,,,,12,confirmed,
merchant wholesaler,nhà bán buôn thương mại,nhà bán buôn thương mại / thương nhân bán buôn,,,12,confirmed,
nissan,Nissan,,,,12,confirmed,"Tên riêng, không dịch"
nordstrom,Nordstrom,,,,12,confirmed,"Tên riêng, không dịch"
personal selling,bán hàng cá nhân,,,,12,confirmed,
peugeot,Peugeot,,,,12,confirmed,"Tên riêng, không dịch"
promotion,chiêu thị,chiêu thị / xúc tiến thương mại / xúc tiến,,,12,confirmed,
promotional mix,hỗn hợp chiêu thị,hỗn hợp chiêu thị / hỗn hợp xúc tiến,,,12,confirmed,
prospecting,tìm kiếm khách hàng tiềm năng,tìm kiếm khách hàng tiềm năng / tìm kiếm khách hàng,,,12,confirmed,
public relations,quan hệ công chúng,quan hệ công chúng / PR,,,12,confirmed,
publicity,tuyên truyền,tuyên truyền / quảng bá truyền thông / quảng bá phi thương mại,,,12,confirmed,
qualifying questions,câu hỏi đánh giá,câu hỏi đánh giá / các câu hỏi đánh giá khách hàng tiềm năng,,,12,confirmed,
reach,phạm vi tiếp cận,,,,12,confirmed,
retailers,nhà bán lẻ,,,,12,confirmed,
saks,Saks,,,,12,confirmed,"Tên riêng, không dịch"
sales promotions,khuyến mại,khuyến mại / xúc tiến bán hàng / khuyến mãi,,,12,confirmed,
sales prospects,khách hàng triển vọng,khách hàng triển vọng / khách hàng tiềm năng,,,12,confirmed,
social media,mạng xã hội,mạng xã hội / phương tiện truyền thông xã hội,,,12,confirmed,
sprint,Sprint,,,,12,confirmed,"Tên riêng, không dịch"
starkist,StarKist,,,,12,confirmed,"Tên riêng, không dịch"
target,Target,,,,12,confirmed,"Tên riêng, không dịch"
