STT,Thuật ngữ Tiếng Anh,Dịch Tiếng Việt,Giải thích,Cột 1
234,Interpersonal conflict,Xung đột liên cá nhân,Bất đồng giữa hai cá nhân cụ thể về một vấn đề.,
235,Intrapersonal conflict,Xung đột nội tâm,Cuộc đấu tranh tâm lý xảy ra bên trong một cá nhân.,
236,Intrinsic motivation,Động lực nội tại,Thúc đẩy từ bên trong vì sự yêu thích bản thân công việc.,
237,Intrinsic outcomes,Kết quả nội tại,Cảm giác thành tựu hoặc thỏa mãn tự thân của cá nhân.,
238,Intrinsic rewards,Phần thưởng nội tại,Sự hài lòng và niềm vui nảy sinh từ việc thực hiện công việc.,
239,Introversion,Hướng nội,Xu hướng tập trung vào thế giới nội tâm và cảm xúc cá nhân.,
240,Job involvement,Sự gắn bó với công việc,Mức độ quan tâm sâu sắc của một người đối với nhiệm vụ của họ.,
241,Job satisfaction,Sự hài lòng trong công việc,Thái độ tích cực của cá nhân đối với trải nghiệm làm việc.,
242,Jurisdictional ambiguities,Mơ hồ về thẩm quyền,Khi ranh giới trách nhiệm giữa các bên không rõ ràng.,
243,Knowledge economy,Nền kinh tế tri thức,Nền kinh tế lấy tri thức làm động lực tăng trưởng chính.,
244,Kotter’s change model,Mô hình thay đổi của Kotter,Quy trình 8 bước để dẫn dắt sự thay đổi tổ chức thành công.,
245,Latent needs,Nhu cầu ngầm,Những nhu cầu có sẵn bên trong nhưng chưa được đánh thức.,nhu cầu ngầm
246,Law of effect,Quy luật hiệu quả,Hành vi dẫn đến kết quả tốt sẽ có xu hướng được lặp lại.,
247,Leadership,Lãnh đạo,Quá trình gây ảnh hưởng xã hội để đạt mục tiêu chung.,
248,Least-preferred coworker,Đồng nghiệp ít được ưa thích nhất,Một thước đo trong lý thuyết Fiedler để xác định phong cách lãnh đạo.,
249,Legitimate power,Quyền lực hợp pháp,Ảnh hưởng dựa trên vị trí chính thức trong hệ thống thứ bậc.,
250,Level of organization,Cấp độ tổ chức,"Quy mô của hệ thống cần tác động (cá nhân, nhóm, toàn tổ chức).",
251,Lewin’s change model,Mô hình thay đổi của Lewin,"Ba giai đoạn: Rã đông, Thay đổi và Đóng băng lại.",
252,Lifestyle entrepreneurship,Khởi nghiệp theo phong cách sống,Doanh nghiệp được tạo ra để phục vụ đam mê hoặc lối sống cá nhân.,
253,Linking role,Vai trò liên kết,Vị trí có nhiệm vụ phối hợp công việc giữa các nhóm khác nhau.,
254,Locus of control,Tâm kiểm soát,Niềm tin vào việc mình hay ngoại cảnh kiểm soát cuộc đời mình.,
255,Long-range planning,Lập kế hoạch dài hạn,Xác định lộ trình và mục tiêu chiến lược cho nhiều năm tới.,
256,Lump-sum pay increase,Tăng lương một lần,Nhận toàn bộ số tiền tăng lương của cả năm trong một lần.,
257,Macro-organizational behavior,Hành vi tổ chức vĩ mô,Nghiên cứu tổ chức dưới góc độ tổng thể hệ thống và cấu trúc.,
258,Managed change,Thay đổi được quản lý,Thay đổi được lãnh đạo chủ động thiết kế để thích ứng.,
259,Management,Quản trị,"Quá trình lập kế hoạch, tổ chức và kiểm soát nguồn lực.",
260,Management by objectives,Quản trị theo mục tiêu,Phương pháp quản lý dựa trên việc thống nhất các mục tiêu cụ thể.,
261,Managerial intervention,Sự can thiệp của quản lý,Nhà quản lý can thiệp trực tiếp để giải quyết vấn đề của nhóm.,
262,Manifest needs,Nhu cầu biểu hiện,Những nhu cầu hiện hữu đang thúc đẩy hành vi tức thời.,
263,Manifest needs theory,Lý thuyết nhu cầu biểu hiện,Hành vi là kết quả của việc cố gắng thỏa mãn các nhu cầu mạnh mẽ.,
264,Market culture,Văn hóa thị trường,"Tập trung vào kết quả, cạnh tranh và hiệu quả kinh doanh.",
265,Matrix structure,Cấu trúc ma trận,Nhân viên báo cáo cho cả quản lý chức năng và quản lý sản phẩm.,
266,McKinsey 7-S model,Mô hình 7-S của McKinsey,Bảy yếu tố nội bộ cần được căn chỉnh để tổ chức thành công.,
267,Mechanistic bureaucratic structure,Cấu trúc quan liêu cơ học,"Cấu trúc cứng nhắc, nhấn mạnh chuyên môn hóa và quy trình.",
268,Mechanistic organizational structures,Cấu trúc tổ chức cơ học,"Phù hợp với môi trường ổn định, dựa trên mệnh lệnh và kiểm soát.",
269,Mental abilities,Khả năng trí tuệ,Năng lực tư duy logic và giải quyết vấn đề bằng trí óc.,
270,Merit matrix,Ma trận tăng lương theo công trạng,Công cụ quyết định mức tăng lương dựa trên thành tích.,
271,Micro-organizational behavior,Hành vi tổ chức vi mô,Nghiên cứu hành vi cá nhân và nhóm nhỏ trong tổ chức.,
272,Middle management,Quản lý cấp trung,Cấp quản lý kết nối giữa lãnh đạo cao cấp và nhân viên cơ sở.,
273,Mining,Khai thác,Kỹ thuật khơi gợi xung đột tiềm ẩn để giải quyết triệt để.,
274,Motivation,Động lực,"Một lực lượng bên trong hoặc bên ngoài cơ thể giúp cung cấp năng lượng, định hướng và duy trì hành vi con người",
275,Motivators,Các yếu tố thúc đẩy,Những yếu tố liên quan đến nội dung công việc mang lại sự hài lòng.,
276,Motive,Động cơ,Nhu cầu hoặc mong muốn cụ thể gây ra hành động.,
277,Nascent entrepreneurs,Nhà khởi nghiệp mới nhen nhóm,Những người đang trong giai đoạn đầu hình thành doanh nghiệp.,
278,Natural disaster,Thiên tai,Sự kiện thiên nhiên gây gián đoạn hoạt động kinh doanh.,
279,Need,Nhu cầu,Sự thiếu hụt về vật chất hoặc tâm lý thúc đẩy hành vi.,
280,Need for achievement (nAch),Nhu cầu thành tựu,Mong muốn làm tốt các công việc thử thách và đạt kết quả cao.,
281,Need for affiliation (nAff),Nhu cầu liên kết,Mong muốn được yêu mến và chấp nhận bởi người khác.,
282,Need for power (nPow),Nhu cầu quyền lực,Mong muốn gây ảnh hưởng và kiểm soát người khác.,
283,Negative reinforcement,Củng cố tiêu cực,Tăng hành vi bằng cách loại bỏ một kích thích khó chịu.,
284,Negotiation,Thương lượng,Quá trình thảo luận giữa các bên để đạt thỏa thuận chung.,
285,Networked-team structure,Cấu trúc đội ngũ mạng lưới,Tổ chức theo các nhóm kết nối linh hoạt thay vì thứ bậc cứng nhắc.,
286,New business owners,Chủ doanh nghiệp mới,Cá nhân vận hành doanh nghiệp dưới 3.5 năm.,
287,Noise,Nhiễu,Mọi yếu tố gây cản trở hoặc làm sai lệch thông điệp giao tiếp.,
288,Nonprogrammed decisions,Quyết định không theo chương trình,"Quyết định cho các vấn đề mới lạ, không có quy trình sẵn.",
289,Nonreinforcement,Không củng cố,Không đưa ra bất kỳ phản hồi nào sau một hành vi.,
290,Normative power,Quyền lực quy chuẩn,Ảnh hưởng dựa trên sự chia sẻ giá trị và niềm tin chung.,
291,Norming,Giai đoạn chuẩn hóa,Giai đoạn nhóm thiết lập các quy tắc và sự đồng thuận.,
292,Norms,Chuẩn mực,Các tiêu chuẩn hành vi được nhóm chấp nhận và tuân thủ.,
293,OD consultant,Tư vấn viên Phát triển Tổ chức,Chuyên gia hỗ trợ doanh nghiệp trong việc thay đổi và cải tiến.,
294,Operant conditioning,Điều kiện hóa vận hành,Học tập qua hệ quả của hành vi (thưởng/phạt).,
295,Operant conditioning theory,Lý thuyết điều kiện hóa vận hành,Giải thích hành vi qua tác động của các yếu tố củng cố.,
296,Organic bureaucratic structure,Cấu trúc quan liêu hữu cơ,Kết hợp giữa sự phân công rõ ràng và tính linh hoạt thích nghi.,
297,Organic organizational structures,Cấu trúc tổ chức hữu cơ,"Linh hoạt, phi tập trung, phù hợp với môi trường biến động.",
298,Organization development (OD),Phát triển tổ chức,Các chiến lược thay đổi hệ thống để tăng hiệu quả tổ chức.,
299,Organization theory,Lý thuyết tổ chức,Nghiên cứu về cách thiết kế và vận hành các tổ chức.,
300,Organization-level change,Thay đổi cấp độ tổ chức,Thay đổi tác động đến toàn bộ bộ máy hoặc sứ mệnh công ty.,
301,Organizational behavior,Hành vi tổ chức,Nghiên cứu về con người trong bối cảnh làm việc tập thể.,
302,Organizational change,Thay đổi tổ chức,Sự chuyển dịch các thành phần của tổ chức theo thời gian.,
303,Organizational commitment,Cam kết tổ chức,Sự trung thành và mong muốn gắn bó lâu dài với công ty.,
304,Organizational design,Thiết kế tổ chức,Xây dựng cấu trúc và văn hóa để thực hiện chiến lược.,
305,Organizational processes,Các quy trình tổ chức,Các hoạt động vận hành thường xuyên của bộ máy.,
306,Organizational structure,Cấu trúc tổ chức,Khung phân cấp nhiệm vụ và quyền hạn trong đơn vị.,
307,Outcome,Kết quả (Quyền lợi),Những gì cá nhận nhận được sau khi hoàn thành công việc.,
308,Overreward inequity,Bất công bằng do phần thưởng cao,Cảm thấy mình nhận được nhiều hơn so với đóng góp và so với người khác.,
309,Paradox,Nghịch lý,Những mâu thuẫn tồn tại song hành trong quản trị.,
310,Partial reinforcement,Củng cố từng phần,Chỉ khen thưởng hành vi vào một số thời điểm nhất định.,
311,Participative pay decisions,Quyết định tiền lương có sự tham gia,Cho phép nhân viên có tiếng nói trong việc xác định thu nhập.,
312,Participatory management,Quản trị có sự tham gia,Khuyến khích nhân viên tham gia vào quá trình ra quyết định.,
313,Path-goal theory of leadership,Lý thuyết lãnh đạo đường dẫn-mục tiêu,Lãnh đạo hỗ trợ nhân viên bằng cách dọn đường đến thành công.,
314,Pay-for-performance model,Mô hình trả lương theo hiệu suất,Thu nhập tỉ lệ thuận với kết quả công việc đạt được.,
315,Perception,Tri giác,Cách cá nhân tiếp nhận và diễn giải thế giới xung quanh.,"Tri giác, giác nhận, tri nhận. (ko phải nhận thức)"
316,Perceptual defense,Phòng vệ tri giác,Phớt lờ thông tin gây khó chịu hoặc đe dọa lòng tự trọng.,nt
317,Perceptual organization,Tổ chức tri giác,Sắp xếp các kích thích rời rạc thành một bức tranh có ý nghĩa.,nt
318,Perceptual selectivity,Lựa chọn tri giác,Chỉ tập trung vào một số thông tin nhất định trong môi trường.,nt
319,Performance appraisals,Đánh giá kết quả công việc,Quy trình đánh giá mức độ hoàn thành nhiệm vụ của nhân viên.,Đánh giá kết quả công việ
320,Performance audit,Kiểm toán hiệu suất,Kiểm tra định kỳ để so sánh thành tích thực tế và kế hoạch.,
321,Performance environment,Môi trường hiệu suất,Các yếu tố bên ngoài tác động đến khả năng làm việc của cá nhân.,
322,Performance management,Quản trị hiệu suất,Hệ thống đảm bảo mọi hoạt động hướng tới mục tiêu chung.,
323,Performance-outcome expectancy,Kỳ vọng kết quả - phần thưởng,Niềm tin rằng thành tích tốt sẽ mang lại phần thưởng xứng đáng.,
324,Performing,Giai đoạn hoạt động hiệu quả,Giai đoạn nhóm làm việc đồng bộ và đạt năng suất tối đa.,
325,Personal control,Sự kiểm soát cá nhân,Mức độ tự tin vào khả năng tác động đến kết quả công việc.,
326,Personal values,Giá trị cá nhân,Những chuẩn mực đạo đức và niềm tin riêng của từng người.,
327,Personality,Tính cách,Các đặc điểm tâm lý ổn định tạo nên sự khác biệt cá nhân.,
328,Physical abilities,Khả năng thể chất,"Các năng lực về sức mạnh, sự dẻo dai và khéo léo.",
329,Planned change,Thay đổi có kế hoạch,Thay đổi được dự liệu trước để đạt lợi thế chiến lược.,
330,Politics,Chính trị,Hoạt động sử dụng quyền lực để giành lợi ích trong tổ chức.,
331,Pooled interdependence,Phụ thuộc lẫn nhau kiểu tích tụ,Các đơn vị làm việc độc lập rồi gộp kết quả lại với nhau.,
332,Positive mindset,Tư duy trân trọng/tích cực,Cách tiếp cận tin tưởng vào tiềm năng và sự xuất sắc của nhân viên để thúc đẩy thay đổi.,
333,Positive reinforcement,Củng cố tích cực,Tăng hành vi mong muốn bằng cách trao thưởng hấp dẫn.,
334,Potential entrepreneurs,Nhà khởi nghiệp tiềm năng,Những người tin rằng mình có ý tưởng và năng lực khởi nghiệp.,
335,Power,Quyền lực,Khả năng của một bên trong việc áp đặt ý chí lên bên khác bất kể sự kháng cự.,
336,Power dependencies,Sự phụ thuộc quyền lực,Mối quan hệ nơi một bên cần bên kia cung cấp nguồn lực.,
337,Primary needs,Nhu cầu sơ cấp,"Các nhu cầu sinh học thiết yếu như ăn, ngủ, an toàn.",
338,Process conflict,Xung đột quy trình,Bất đồng về phương pháp thực hiện nhiệm vụ hiệu quả nhất.,
339,Process motivation theories,Lý thuyết quá trình về động lực,"Giải thích ""tại sao"" và ""như thế nào"" động lực được duy trì.",
340,Product structures,Cấu trúc sản phẩm,Tổ chức nhân sự xoay quanh các dòng sản phẩm cụ thể.,
341,Programmed decisions,Quyết định theo chương trình,Giải quyết các vấn đề lặp lại bằng các quy tắc định sẵn.,
342,Psychomotor abilities,Khả năng vận động tâm thần,Sự phối hợp giữa trí não và các bộ phận cơ thể.,
343,Punishment,Hình phạt,Áp dụng hệ quả tiêu cực để loại bỏ hành vi không tốt.,
344,Rate of life change,Tỷ lệ thay đổi cuộc sống,Đo lường áp lực tâm lý từ các biến cố lớn trong đời.,
345,Rationality,Tính hợp lý / Duy lý,Suy luận dựa trên logic và dữ liệu thực tế.,
346,Reactive system,Hệ thống phản ứng,"Cơ chế xử lý thông tin nhanh, cảm tính và tự động.",
347,Real-time permission,Sự cho phép theo thời gian thực,Kỹ thuật chấp nhận xung đột để đi thẳng vào vấn đề cốt lõi.,
348,Receiver,Người nhận,Đối tượng đích của một thông điệp giao tiếp.,
349,Recency error,Lỗi hành vi gần nhất,Đánh giá bị ảnh hưởng quá mức bởi những sự kiện mới xảy ra.,
350,Reciprocal determinism,Quyết định luận tương hỗ,"Sự tác động qua lại giữa tính cách, hành vi và môi trường.",
351,Reciprocal interdependence,Phụ thuộc lẫn nhau kiểu tương hỗ,Các đơn vị trao đổi thông tin qua lại liên tục để hoàn thành việc.,
352,Referent others,Người tham chiếu,Đối tượng mà cá nhân chọn để so sánh sự công bằng.,
353,Referent power,Quyền lực tham chiếu,Ảnh hưởng có được do sự ngưỡng mộ và yêu mến của người khác.,
354,Reflective system,Hệ thống phản chiếu,"Cơ chế xử lý thông tin chậm, logic và có phân tích.",
355,Reinforcement,Sự củng cố,Các tác động làm tăng hoặc giảm khả năng lặp lại hành vi.,
356,Relationship conflict,Xung đột mối quan hệ,"Mâu thuẫn dựa trên ác cảm cá nhân, thường gây hại cho nhóm.",
357,Reliability,Độ tin cậy,Sự ổn định và nhất quán của các kết quả đo lường.,
358,Resistance,Sự kháng cự,Hành động chống lại hoặc trì hoãn các tác động thay đổi.,
359,Resistance price,Giá kháng cự,Điểm giới hạn mà một bên không thể nhượng bộ thêm.,
360,Resource dependence,Sự phụ thuộc nguồn lực,Tình trạng cần sự hỗ trợ của bên khác để vận hành.,
361,Resources,Nguồn lực,Mọi tài sản hữu hình và vô hình phục vụ mục tiêu tổ chức.,
362,Response disposition,Khuynh hướng phản hồi,Xu hướng phản ứng quen thuộc với các kích thích nhất định.,
363,Response salience,Sự nổi bật của phản hồi,Một kích thích trở nên quan trọng hơn do nhu cầu hiện tại.,
364,Reward power,Quyền lực khen thưởng,Khả năng kiểm soát và trao các phần thưởng người khác muốn.,
365,Role,Vai trò,Các hành vi kỳ vọng gắn với một vị trí công việc.,
366,Role ambiguity,Mơ hồ vai trò,Không rõ mình phải làm gì hoặc làm như thế nào.,
367,Role conflict,Xung đột vai trò,Đối mặt với những yêu cầu mâu thuẫn nhau từ nhiều phía.,
368,Role episode,Phân đoạn vai trò,Một chu kỳ gửi kỳ vọng và phản hồi hành vi vai trò.,
369,Role overload,Quá tải vai trò,Có quá nhiều việc phải làm trong một khoảng thời gian ngắn.,
370,Role perceptions,Tri giác vai trò,Cách một người hiểu về các trách nhiệm của mình.,tri giác
371,Role set,Tập hợp vai trò,Nhóm những người có liên quan đến công việc của cá nhân.,
372,Role underutilization,Sự thiếu hụt sử dụng vai trò,Không được sử dụng hết kỹ năng và kinh nghiệm sẵn có.,
373,Satisficing,Sự thỏa mãn mục tiêu,"Chọn giải pháp ""đủ tốt"" thay vì giải pháp hoàn hảo nhất.",
374,Schedules of reinforcement,Các lịch trình củng cố,Các phương thức xác định thời điểm khen thưởng hiệu quả.,
375,Scope of change,Phạm vi thay đổi,Độ rộng và độ sâu của các thay đổi trong tổ chức.,
376,Second movers,Người đi sau,Công ty học hỏi từ sai lầm của người đi trước để cải tiến.,
377,Secondary needs,Nhu cầu thứ cấp,"Các nhu cầu tâm lý như địa vị, sự tôn trọng, quyền lực.",
378,Selective perception,Tri giác có chọn lọc,Chỉ lọc lấy thông tin phù hợp với quan điểm cá nhân.,tri giác
379,Self-determination theory,Lý thuyết tự quyết,Nhấn mạnh tầm quan trọng của tự chủ đối với động lực nội tại.,
380,Self-efficacy,Tự hiệu quả,Niềm tin vào năng lực bản thân để vượt qua thử thách.,
381,Self-esteem,Lòng tự trọng,Đánh giá tổng thể về giá trị và phẩm giá của chính mình.,
382,Self-regulation,Tự điều chỉnh,Khả năng tự kiểm soát cảm xúc và hành vi hướng mục tiêu.,
383,Self-reinforcement,Tự củng cố,Cá nhân tự khen thưởng mình khi đạt được mục tiêu nhỏ.,
384,Self-serving bias,Thiên kiến vị kỷ,Xu hướng quy kết thành công cho bản thân và đổ lỗi thất bại cho ngoại cảnh để bảo vệ cái tôi.,
385,Self-talk,Tự đối thoại,Những thông điệp nội tâm dùng để khích lệ bản thân.,
386,Sequential interdependence,Phụ thuộc lẫn nhau kiểu nối tiếp,"Làm việc theo dây chuyền, bước sau đợi kết quả bước trước.",
387,Habitual entrepreneurship,Khởi nghiệp hàng loạt,Cá nhân liên tục khởi nghiệp nhiều dự án khác nhau.,
388,Shaping,Định hình,Khen thưởng những cải tiến nhỏ tiến tới hành vi cuối cùng.,
389,Simple-Stable environments,Môi trường Đơn giản - Ổn định,"Ít yếu tố biến động và mọi thứ diễn ra chậm rãi, dễ đoán.",
390,Simple-Unstable environments,Môi trường Đơn giản - Không ổn định,"Ít yếu tố nhưng biến động bất ngờ, khó lường trước.",
391,Situational approach,Tiếp cận theo tình huống,Nhìn nhận thái độ nảy sinh từ bối cảnh cụ thể của công việc.,
392,Skills-based incentives,Khuyến khích dựa trên kỹ năng,Thưởng dựa trên vốn kỹ năng mà nhân viên tích lũy được.,
393,Social entrepreneurship,Khởi nghiệp xã hội,Dự án kinh doanh nhằm giải quyết các thách thức cộng đồng.,
394,Social learning theory,Lý thuyết học tập xã hội,Học tập thông qua quan sát hành động của người khác.,
395,Social loafing,Sự ỷ lại tập thể,Cá nhân làm việc ít hơn khi tham gia vào một nhóm lớn.,
396,Social perception,Tri giác xã hội,Cách chúng ta hiểu và hình thành ấn tượng về người khác.,tri giác
397,Social support,Sự hỗ trợ xã hội,Sự giúp đỡ và cảm thông từ đồng nghiệp và lãnh đạo.,
398,Social-info-processing,Tiếp cận xử lý thông tin xã hội,Thái độ bị ảnh hưởng mạnh bởi những gì đồng nghiệp xung quanh nói.,
399,SHRM,Hiệp hội Quản trị Nguồn nhân lực,Tổ chức chuyên môn uy tín nhất dành cho dân nhân sự toàn cầu.,
400,Socio-cultural forces,Các lực lượng văn hóa - xã hội,Các giá trị và thói quen tiêu dùng của xã hội tác động doanh nghiệp.,
401,Span of control,Tầm hạn quản trị,Số lượng nhân viên dưới quyền trực tiếp của một nhà quản lý.,
402,Specialization,Sự chuyên môn hóa,Phân chia công việc thành các phần việc nhỏ cho chuyên gia.,
403,Stakeholders,Các bên liên quan,Mọi đối tượng có quyền lợi hoặc chịu tác động từ tổ chức.,
404,State of equity,Trạng thái công bằng,Khi tỷ lệ đóng góp/kết quả của các bên được coi là tương xứng.,
405,Status incongruence,Không tương xứng địa vị,Khi thứ bậc thực tế và biểu tượng địa vị không khớp nhau.,
406,Status inconsistencies,Không nhất quán địa vị,Mâu thuẫn khi các tiêu chuẩn địa vị được áp dụng không đều.,
407,Status system,Hệ thống địa vị,Cách tổ chức xếp hạng và tôn vinh các cá nhân/nhóm.,
408,Stereotyping,Định kiến / Rập khuôn,Quy chụp đặc điểm của cả nhóm lên một cá nhân cụ thể.,
409,Storming,Giai đoạn sóng gió,Giai đoạn xảy ra các xung đột nội bộ về quyền lực và ý tưởng.,
410,Strain,Sự tổn hại do căng thẳng,Hệ quả vật lý hoặc tinh thần từ việc chịu stress kéo dài.,
411,Strategic change,Thay đổi chiến lược,Điều chỉnh căn bản phương hướng để thích nghi với thị trường.,
412,Strategic contingencies,Các tình huống bất trắc chiến lược,Sự phụ thuộc vào các đơn vị nắm giữ nguồn lực hoặc kỹ năng then chốt.,
413,Stress,Stress,Phản ứng sinh lý và tâm lý trước các áp lực môi trường.,
414,Stretch assignments,Nhiệm vụ thách thức,Giao việc khó hơn năng lực hiện tại để đào tạo tài năng.,
415,Strictness/Leniency error,Lỗi khắt khe hoặc Quá dễ dãi,Người đánh giá cho điểm quá thấp hoặc quá cao cho tất cả mọi người.,
416,Structural change,Thay đổi cấu trúc,Thay đổi trong sơ đồ tổ chức và các mối quan hệ báo cáo.,
417,Structural intervention,Sự can thiệp cấu trúc,Thay đổi bộ máy hoặc quy trình để giảm thiểu mâu thuẫn nhóm.,
418,Succession,Sự kế thừa,Sự tiếp nối quyền lực lãnh đạo từ thế hệ này sang thế hệ sau.,
419,Succession planning,Quy hoạch kế thừa,Chuẩn bị sẵn đội ngũ thay thế cho các vị trí trọng yếu.,
420,Suppression of dissent,Áp chế sự bất đồng,Ngăn cản nhân viên đưa ra ý kiến phản biện hoặc trái chiều.,
421,Symbolic coding,Mã hóa biểu tượng,Dùng hình ảnh hoặc từ ngữ để ghi nhớ quy trình công việc.,
422,Talent,Tài năng,Những nhân sự có năng lực vượt trội giúp tổ chức bứt phá.,
423,Talent acquisition,Thu hút tài năng,Chiến lược chủ động tìm và chiêu mộ người giỏi về công ty.,
424,Talent development,Phát triển tài năng,Hoạt động bồi dưỡng và giữ chân đội ngũ nhân sự nòng cốt.,
425,Talent review calibration,Hiệu chuẩn đánh giá tài năng,Cuộc họp thống nhất các tiêu chuẩn đánh giá người giỏi giữa các sếp.,
426,Task force,Nhóm đặc nhiệm,Nhóm tập hợp khẩn cấp để xử lý một vấn đề quan trọng.,
427,Task group,Nhóm nhiệm vụ,Nhóm làm việc cùng nhau để hoàn thành một mục tiêu cụ thể.,
428,Task interdependencies,Phụ thuộc nhiệm vụ,Sự phụ thuộc lẫn nhau trong công việc gây ra nhu cầu phối hợp.,
429,Task uncertainty,Tính bất định nhiệm vụ,Mức độ thiếu rõ ràng về cách thực hiện một công việc.,
430,Technological change,Thay đổi công nghệ,"Sự thay đổi trong máy móc, phần mềm hoặc quy trình sản xuất.",
431,Technological forces,Các lực lượng công nghệ,Xu hướng tiến bộ kỹ thuật tác động đến cách vận hành doanh nghiệp.,
432,Technology,Công nghệ,Tập hợp các phương tiện và phương pháp sản xuất của tổ chức.,
433,Terminal values,Giá trị đích,Những trạng thái cuối cùng mà con người mong muốn đạt được.,giá trị đích
434,Theory,Lý thuyết,Hệ thống các khái niệm để giải thích một hiện tượng quản trị.,
435,Third-party consultation,Tham vấn bên thứ ba,Nhờ chuyên gia bên ngoài hòa giải các mâu thuẫn nội bộ.,
436,Tolerance for ambiguity,Chịu đựng sự mơ hồ,Khả năng làm việc tốt dù không có đầy đủ thông tin rõ ràng.,
437,Top-down change,Thay đổi từ trên xuống,Thay đổi xuất phát từ mệnh lệnh và tầm nhìn của cấp cao nhất.,
438,Total rewards strategy,Chiến lược tổng đãi ngộ,Gói lợi ích bao gồm cả tiền bạc và phi vật chất cho nhân viên.,
439,Training,Đào tạo,Quy trình học tập nâng cao kỹ năng cho công việc hiện tại.,
440,Transformational change,Thay đổi mang tính chuyển đổi,Thay đổi triệt để bản chất và văn hóa của toàn tổ chức.,
441,Transformational leader,Nhà lãnh đạo chuyển đổi,Người khơi dậy đam mê và thay đổi tư duy của cấp dưới.,
442,Trust,Sự tin tưởng,Niềm tin vào thiện chí và sự chính trực của đối phương.,
443,Type A personality,Tính cách loại A,"Kiểu người năng nổ, nóng tính và cực kỳ coi trọng thời gian.",
444,Uncertainty,Tính bất định,Tình trạng thiếu thông tin khiến kết quả trở nên khó dự đoán.,
445,Unconditioned response,Phản hồi không điều kiện,Phản xạ tự nhiên không cần học tập trước.,
446,Underreward inequity,Bất công bằng do phần thưởng thấp,Cảm giác bị thiệt thòi khi so sánh đóng góp của mình với người khác.,
447,Unplanned change,Thay đổi ngoài kế hoạch,Những biến đổi bất thình lình nảy sinh do hoàn cảnh khách quan.,
448,Utilitarian power,Quyền lực thực dụng,Quyền lực dựa trên sự trao đổi lợi ích kinh tế sòng phẳng.,
449,Valences,Trị giá (Độ hấp dẫn),Mức độ khao khát của cá nhân đối với một phần thưởng cụ thể.,
450,Validity,Tính hợp lệ,Thước đo phản ánh chính xác nội dung cần được đánh giá.,thẩm định tính hữu hiệu?
451,Values,Giá trị,Những chuẩn mực quan trọng định hướng hành động và quyết định.,
452,Venture capital,Vốn mạo hiểm,Nguồn đầu tư cho dự án rủi ro cao nhưng tiềm năng lớn.,
453,Vertical organizational structure,Cấu trúc tổ chức theo chiều dọc,Cấu trúc truyền thống với nhiều nấc thang quản trị.,
454,Vicarious learning,Học tập trải nghiệm gián tiếp,Rút kinh nghiệm từ việc xem người khác làm và kết quả của họ.,
455,Virtual structure,Cấu trúc ảo,"Tổ chức kết nối qua internet, không cần văn phòng vật lý tập trung.",
456,Vision,Tầm nhìn,Mục tiêu lý tưởng mà tổ chức khao khát đạt tới trong tương lai.,
457,Visionary leader,Lãnh đạo viễn kiến,Người dẫn dắt dựa trên những giấc mơ và viễn cảnh to lớn.,lãnh đạo viễn kiến
458,War for talent,Cuộc chiến giành nhân tài,Sự cạnh tranh gay gắt giữa các hãng để có được người giỏi nhất.,
459,Work,Công việc,Nỗ lực để tạo ra sản phẩm hoặc dịch vụ có ích.,
460,Work centrality,Tính trung tâm của công việc,Mức độ quan trọng của công việc đối với giá trị sống của cá nhân.,
461,Work ethic,Đạo đức nghề nghiệp,Niềm tin vào tầm quan trọng và giá trị của sự chăm chỉ.,
462,Work motivation,Động lực làm việc,Năng lượng dồi dào dành cho các hoạt động nghề nghiệp.,
463,Work role,Vai trò công việc,Những mong đợi của sếp và đồng nghiệp về vị trí của bạn.,
464,Work technology,Công nghệ làm việc,Các công cụ cần thiết để hoàn thành định mức công việc.,
465,Work to rule,Làm việc đúng quy trình,Một cách đình công bằng cách làm chậm mọi thứ theo quy trình cũ.,
466,Workflow immediacy,Tính tức thì của luồng công việc,Sự tác động nhanh chóng của một khâu sản xuất đến khâu tiếp theo.,
467,Workflow pervasiveness,Tính phổ biến của luồng công việc,Sự ảnh hưởng lan tỏa của một đơn vị đến toàn bộ hệ thống.,
468,Working group,Nhóm làm việc,Nhóm các chuyên gia làm việc cùng nhau; hiệu suất tạo nên từ kết quả cá nhân của tất cả các thành viên.,
469,social-information-processing approach,Tiếp cận xử lý thông tin xã hội,Quan điểm cho rằng thái độ được định hình bởi thông tin và tương tác với đồng nghiệp,
470,inclusion,Sự hòa nhập,Việc tạo dựng môi trường tôn trọng và phát huy vai trò của tất cả các cá nhân đa dạng,
471,surface-level diversity,Đa dạng bề nổi,Các đặc điểm đa dạng dễ nhận biết bên ngoài như giới tính, chủng tộc, độ tuổi,
472,deep-level diversity,Đa dạng chiều sâu,Các đặc điểm đa dạng bên trong như giá trị, thái độ, nhân cách và niềm tin,
473,hidden diversity,Đa dạng ẩn,Các đặc tính nhận dạng không thể thấy ngay như tôn giáo, định hướng hay bệnh tật,
474,glass ceiling,Trần thủy tinh,Rào cản vô hình ngăn cản phụ nữ và người thiểu số vươn tới vị trí lãnh đạo cao cấp,
475,workplace discrimination,Phân biệt đối xử tại nơi làm việc,Hành vi đối xử không công bằng dựa trên nhóm nhận dạng cá nhân,
