key,translation,options,desc_en,desc_vi,chapter,status,notes,source,frequency,confidence
Interquartile Range,Khoảng tứ phân vị,IQR,"or IQR , is the range of the middle 50 percent of the data values; the IQR is found by subtracting the first quartile from the third quartile.","hoặc IQR, là phạm vi của 50% giữa các giá trị dữ liệu; IQR được tìm bằng cách trừ tứ phân vị thứ nhất khỏi tứ phân vị thứ ba.",2,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_key_terms_dl;html_key_terms_dt;html_term_span,3,0.92
Midpoint,Điểm giữa,,the mean of an interval in a frequency table,trung bình của một khoảng trong bảng tần số,2,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_key_terms_dl;html_key_terms_dt;html_term_span,3,0.92
Mode,Yếu vị,,the value that appears most frequently in a set of data,giá trị xuất hiện thường xuyên nhất trong một tập dữ liệu,2,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_key_terms_dl;html_key_terms_dt;html_term_span,3,0.92
normally distributed,phân phối chuẩn,,,,7;9,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_term_span,3,0.75
One-Way ANOVA,ANOVA một yếu tố,,a method of testing whether or not the means of three or more populations are equal; the method is applicable if: all populations of interest are normally distributed. the populations have equal standard deviations. samples (not necessarily of the same size) are randomly and independently selected from each population. there is one independent variable and one dependent variable. The test statistic for analysis of variance is the F -ratio.,một phương pháp kiểm tra xem trung bình của ba hoặc nhiều quần thể có bằng nhau hay không; phương pháp này áp dụng nếu: tất cả các quần thể quan tâm được phân phối chuẩn. các quần thể có độ lệch chuẩn bằng nhau. các mẫu (không nhất thiết có cùng kích thước) được chọn ngẫu nhiên và độc lập từ mỗi quần thể. có một biến độc lập và một biến phụ thuộc. Thống kê kiểm định cho phân tích phương sai là tỷ số F.,13,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_key_terms_dl;html_key_terms_dt;html_term_span,3,0.92
Outcome,Kết quả,,a particular result of an experiment,một kết quả cụ thể của một thí nghiệm,3,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_key_terms_dl;html_key_terms_dt;html_term_span,3,0.92
Paired Data Set,Tập dữ liệu cặp,,"two data sets that have a one to one relationship so that: both data sets are the same size, and each data point in one data set is matched with exactly one point from the other set.",hai tập dữ liệu có mối quan hệ một-một sao cho: cả hai tập dữ liệu có cùng kích thước và mỗi điểm dữ liệu trong một tập dữ liệu được ghép với đúng một điểm từ tập dữ liệu kia.,2,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_key_terms_dl;html_key_terms_dt;html_term_span,3,0.92
Percentile,Phân vị,,"a number that divides ordered data into hundredths; percentiles may or may not be part of the data. The median of the data is the second quartile and the 50 th percentile. The first and third quartiles are the 25 th and the 75 th percentiles, respectively.",một số chia dữ liệu đã sắp xếp thành trăm phần; phân vị có thể hoặc không thể là một phần của dữ liệu. Trung vị của dữ liệu là tứ phân vị thứ hai và phân vị thứ 50. Tứ phân vị thứ nhất và thứ ba lần lượt là phân vị thứ 25 và thứ 75.,2;7,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_key_terms_dl;html_key_terms_dt;html_term_span,3,0.92
Placebo,Giả dược,,"an inactive treatment that cannot directly affect the response variable, used to counter the power of suggestion","một phương pháp điều trị không hoạt động, không thể ảnh hưởng trực tiếp đến biến phản hồi, được sử dụng để chống lại sức mạnh của sự gợi ý",1,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_key_terms_dl;html_key_terms_dt;html_term_span,3,0.92
Point Estimate,Ước lượng điểm,,a single number computed from a sample and used to estimate a population parameter,một số duy nhất được tính từ một mẫu và được sử dụng để ước lượng một tham số quần thể,8,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_key_terms_dl;html_key_terms_dt;html_term_span,3,0.92
Pooled Proportion,Tỷ lệ gộp,,estimate of the common value of p 1 and p 2 .,ước lượng giá trị chung của p 1 và p 2 .,10,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_key_terms_dl;html_key_terms_dt;html_term_span,3,0.92
Proportion,Tỷ lệ,,the number of successes divided by the total number in the sample,số lần thành công chia cho tổng số trong mẫu,1,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_key_terms_dl;html_key_terms_dt;html_term_span,3,0.92
Qualitative Data,Dữ liệu định tính,,a set of observations (a set of possible outcomes); qualitative data has an attribute whose value is indicated by a label,một tập hợp các quan sát (một tập hợp các kết quả có thể xảy ra); dữ liệu định tính có một thuộc tính mà giá trị của nó được biểu thị bằng một nhãn,1,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_key_terms_dl;html_key_terms_dt;html_term_span,3,0.92
Quantitative Data,Dữ liệu định lượng,,a set of observations (a set of possible outcomes); quantitative (an attribute whose value is indicated by a number) data can be separated into two subgroups: discrete and continuous . Data is discrete if it is the result of counting (such as the number of students of a given ethnic group in a class or the number of books on a shelf). Data is continuous if it is the result of measuring (such as distance traveled or weight of luggage).,một tập hợp các quan sát (một tập hợp các kết quả có thể xảy ra); dữ liệu định lượng (một thuộc tính có giá trị được biểu thị bằng một số) có thể được chia thành hai nhóm phụ: rời rạc và liên tục. Dữ liệu là rời rạc nếu nó là kết quả của việc đếm (ví dụ: số sinh viên của một nhóm dân tộc nhất định trong một lớp hoặc số sách trên kệ). Dữ liệu là liên tục nếu nó là kết quả của việc đo lường (ví dụ: quãng đường di chuyển hoặc trọng lượng hành lý).,1,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_key_terms_dl;html_key_terms_dt;html_term_span,3,0.92
Random Assignment,Phân bổ ngẫu nhiên,,the act of organizing experimental units into treatment groups using random methods,hành động tổ chức các đơn vị thực nghiệm vào các nhóm điều trị bằng các phương pháp ngẫu nhiên,1,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_key_terms_dl;html_key_terms_dt;html_term_span,3,0.92
Random Sampling,Lấy mẫu ngẫu nhiên,,a method of selecting a sample that gives every member of the population an equal chance of being selected.,một phương pháp chọn mẫu cho phép mọi thành viên của quần thể có cơ hội được chọn như nhau.,1,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_key_terms_dl;html_key_terms_dt;html_term_span,3,0.92
Random variable,Biến ngẫu nhiên,,,,10;4,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_term_span,3,0.75
Representative Sample,Mẫu đại diện,,a subset of the population that has the same characteristics as the population,một tập hợp con của quần thể có các đặc điểm giống như quần thể,1,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_key_terms_dl;html_key_terms_dt;html_term_span,3,0.92
Response Variable,Biến phản hồi,,the dependent variable in an experiment; the value that is measured for change at the end of an experiment,biến phụ thuộc trong một thí nghiệm; giá trị được đo lường sự thay đổi vào cuối thí nghiệm,1,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_key_terms_dl;html_key_terms_dt;html_term_span,3,0.92
Sample,mẫu,,a subset of the population studied,,1,draft_ai,draft-pipeline,html_key_terms_dl;html_key_terms_dt;html_term_span,3,0.92
Sampling Bias,Sai lệch mẫu,,not all members of the population are equally likely to be selected,không phải tất cả các thành viên của quần thể đều có khả năng được chọn như nhau,1,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_key_terms_dl;html_key_terms_dt;html_term_span,3,0.92
Sampling Distribution,Phân phối mẫu,,"Given simple random samples of size n from a given population with a measured characteristic such as mean, proportion, or standard deviation for each sample, the probability distribution of all the measured characteristics is called a sampling distribution.","Cho các mẫu ngẫu nhiên đơn giản có kích thước n từ một quần thể nhất định với một đặc tính được đo lường như trung bình, tỷ lệ hoặc độ lệch chuẩn cho mỗi mẫu, phân phối xác suất của tất cả các đặc tính được đo lường được gọi là phân phối mẫu.",2;7,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_key_terms_dl;html_key_terms_dt;html_term_span,3,0.92
Sampling with Replacement,Lấy mẫu có hoàn lại,,"Once a member of the population is selected for inclusion in a sample, that member is returned to the population for the selection of the next individual.","Sau khi một thành viên của quần thể được chọn để đưa vào mẫu, thành viên đó được trả lại quần thể để chọn cá nhân tiếp theo.",1,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_key_terms_dl;html_key_terms_dt;html_term_span,3,0.92
Skewed,Lệch,,"used to describe data that is not symmetrical; when the right side of a graph looks “chopped off” compared the left side, we say it is “skewed to the left.” When the left side of the graph looks “chopped off” compared to the right side, we say the data is “skewed to the right.” Alternatively: when the lower values of the data are more spread out, we say the data are skewed to the left. When the greater values are more spread out, the data are skewed to the right.","được sử dụng để mô tả dữ liệu không đối xứng; khi phía bên phải của đồ thị trông “bị cắt bớt” so với phía bên trái, chúng ta nói nó “lệch về bên trái”. Khi phía bên trái của đồ thị trông “bị cắt bớt” so với phía bên phải, chúng ta nói dữ liệu “lệch về bên phải”. Cách khác: khi các giá trị thấp hơn của dữ liệu bị trải rộng hơn, chúng ta nói dữ liệu bị lệch về bên trái. Khi các giá trị lớn hơn bị trải rộng hơn, dữ liệu bị lệch về bên phải.",2,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_key_terms_dl;html_key_terms_dt;html_term_span,3,0.92
Standard Normal Distribution,Phân phối chuẩn tắc,,"a continuous random variable (RV) X ~ N (0, 1); when X follows the standard normal distribution, it is often noted as Z ~ N (0, 1).","biến ngẫu nhiên liên tục (RV) X ~ N (0, 1); khi X tuân theo phân phối chuẩn tắc, nó thường được ký hiệu là Z ~ N (0, 1).",6,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_key_terms_dl;html_key_terms_dt;html_term_span,3,0.92
Statistic,Thống kê,,a numerical characteristic of the sample; a statistic estimates the corresponding population parameter.,một đặc tính số của mẫu; một thống kê ước lượng tham số quần thể tương ứng.,1,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_key_terms_dl;html_key_terms_dt;html_term_span,3,0.92
Treatments,Các phép xử lý,,different values or components of the explanatory variable applied in an experiment,các giá trị hoặc thành phần khác nhau của biến giải thích được áp dụng trong một thí nghiệm,1,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_key_terms_dl;html_key_terms_dt;html_term_span,3,0.92
Tree Diagram,Sơ đồ cây,,"the useful visual representation of a sample space and events in the form of a “tree” with branches marked by possible outcomes together with associated probabilities (frequencies, relative frequencies)","biểu diễn trực quan hữu ích của không gian mẫu và các biến cố dưới dạng “cây” với các nhánh được đánh dấu bằng các kết quả có thể xảy ra cùng với các xác suất tương ứng (tần số, tần số tương đối)",3,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_key_terms_dl;html_key_terms_dt;html_term_span,3,0.92
Type II Error,Sai lầm loại II,,"The decision is not to reject the null hypothesis when, in fact, the null hypothesis is false.","Quyết định không bác bỏ giả thuyết không khi, trên thực tế, giả thuyết không là sai.",9,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_key_terms_dl;html_key_terms_dt;html_term_span,3,0.92
Variable,Biến số,,a characteristic of interest for each person or object in a population,một đặc tính được quan tâm cho mỗi người hoặc đối tượng trong một quần thể,1,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_key_terms_dl;html_key_terms_dt;html_term_span,3,0.92
Venn Diagram,Sơ đồ Venn,,the visual representation of a sample space and events in the form of circles or ovals showing their intersections,biểu diễn trực quan của không gian mẫu và các biến cố dưới dạng các hình tròn hoặc hình bầu dục cho thấy các giao điểm của chúng,3,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_key_terms_dl;html_key_terms_dt;html_term_span,3,0.92
AND Event,Sự kiện VÀ,,An outcome is in the event A AND B if the outcome is in both A AND B at the same time.,Một kết quả thuộc sự kiện A VÀ B nếu kết quả đó đồng thời thuộc cả A VÀ B.,3,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_key_terms_dl;html_key_terms_dt,2,0.92
Bernoulli Trials,Thử nghiệm Bernoulli,,an experiment with the following characteristics: There are only two possible outcomes called “success” and “failure” for each trial. The probability p of a success is the same for any trial (so the probability q = 1 − p of a failure is the same for any trial).,"một thí nghiệm với các đặc điểm sau: Mỗi lần thử chỉ có hai kết quả có thể xảy ra, gọi là “thành công” và “thất bại”. Xác suất p của một lần thành công là như nhau cho mọi lần thử (do đó xác suất q = 1 − p của một lần thất bại cũng là như nhau cho mọi lần thử).",4,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_key_terms_dl;html_key_terms_dt,2,0.92
Binomial Experiment,Thí nghiệm nhị thức,,"a statistical experiment that satisfies the following three conditions: There are a fixed number of trials, n . There are only two possible outcomes, called ""success"" and, ""failure,"" for each trial. The letter p denotes the probability of a success on one trial, and q denotes the probability of a failure on one trial. The n trials are independent and are repeated using identical conditions.","một thí nghiệm thống kê thỏa mãn ba điều kiện sau: Có một số lần thử cố định, n. Chỉ có hai kết quả có thể xảy ra, gọi là “thành công” và “thất bại”, cho mỗi lần thử. Ký hiệu p là xác suất thành công trong một lần thử, và q là xác suất thất bại trong một lần thử. n lần thử là độc lập và được lặp lại với các điều kiện giống hệt nhau.",4,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_key_terms_dl;html_key_terms_dt,2,0.92
Box plot,Biểu đồ hộp,,a graph that gives a quick picture of the middle 50% of the data,một đồ thị cho thấy nhanh 50% dữ liệu ở khoảng giữa,2,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_key_terms_dl;html_key_terms_dt,2,0.92
Categorical Variable,Biến định tính,,variables that take on values that are names or labels,các biến nhận các giá trị là tên hoặc nhãn,1,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_key_terms_dl;html_key_terms_dt,2,0.92
Cluster Sampling,Chọn mẫu theo cụm,,a method for selecting a random sample and dividing the population into groups (clusters); use simple random sampling to select a set of clusters. Every individual in the chosen clusters is included in the sample.,một phương pháp chọn mẫu ngẫu nhiên bằng cách chia quần thể thành các nhóm (cụm); sử dụng chọn mẫu ngẫu nhiên đơn giản để chọn một tập hợp các cụm. Mọi cá nhân trong các cụm được chọn đều được đưa vào mẫu.,1,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_key_terms_dl;html_key_terms_dt,2,0.92
Complement Event,Sự kiện bù,,The complement of event A consists of all outcomes that are NOT in A .,Phần bù của sự kiện A bao gồm tất cả các kết quả KHÔNG thuộc A.,3,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_key_terms_dl;html_key_terms_dt,2,0.92
Conditional Probability of A GIVEN B,Xác suất có điều kiện của A CHO TRƯỚC B,,P ( A | B ) is the probability that event A will occur given that the event B has already occurred.,P ( A | B ) là xác suất sự kiện A xảy ra khi biết sự kiện B đã xảy ra.,3,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_key_terms_dl;html_key_terms_dt,2,0.92
Conditional Probability of One Event Given Another Event,Xác suất có điều kiện của một sự kiện cho trước một sự kiện khác,,P ( A | B ) is the probability that event A will occur given that the event B has already occurred.,P ( A | B ) là xác suất sự kiện A xảy ra khi biết sự kiện B đã xảy ra.,3,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_key_terms_dl;html_key_terms_dt,2,0.92
confidence interval,khoảng tin cậy,,,,8,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_term_span,2,0.75
confidence intervals,các khoảng tin cậy,,,,8;9,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_term_span,2,0.75
confidence level,mức tin cậy,,,,8,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_term_span,2,0.75
Confidence Level (CL),Mức tin cậy (CL),,"the percent expression for the probability that the confidence interval contains the true population parameter; for example, if the CL = 90%, then in 90 out of 100 samples the interval estimate will enclose the true population parameter.","phần trăm biểu thị xác suất khoảng tin cậy chứa tham số quần thể thực; ví dụ, nếu CL = 90%, thì trong 100 mẫu, 90 khoảng ước lượng sẽ bao trùm tham số quần thể thực.",8,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_key_terms_dl;html_key_terms_dt,2,0.92
decay parameter,tham số suy giảm,,"The decay parameter describes the rate at which probabilities decay to zero for increasing values of x . It is the value m in the probability density function f ( x ) = me (- mx ) of an exponential random variable. It is also equal to m = , where μ is the mean of the random variable.","Tham số suy giảm mô tả tốc độ xác suất giảm về 0 khi giá trị x tăng. Nó là giá trị m trong hàm mật độ xác suất f ( x ) = me (- mx ) của một biến ngẫu nhiên mũ. Nó cũng bằng m = , trong đó μ là giá trị trung bình của biến ngẫu nhiên.",5,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_key_terms_dl;html_key_terms_dt,2,0.92
Empirical Rule,Quy tắc thực nghiệm,,,,6;8,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_term_span,2,0.75
error bound for a population mean,sai số biên cho trung bình quần thể,,,,8,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_term_span,2,0.75
Error Bound for a Population Mean ( EBM ),Sai số biên cho Trung bình Quần thể ( EBM ),,"the margin of error; depends on the confidence level, sample size, and known or estimated population standard deviation.","sai số biên độ; phụ thuộc vào mức tin cậy, kích thước mẫu và độ lệch chuẩn quần thể đã biết hoặc ước tính.",8,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_key_terms_dl;html_key_terms_dt,2,0.92
Frequency Polygon,Đa giác tần số,,looks like a line graph but uses intervals to display ranges of large amounts of data,trông giống biểu đồ đường nhưng sử dụng các khoảng để hiển thị phạm vi của lượng lớn dữ liệu,2,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_key_terms_dl;html_key_terms_dt,2,0.92
Geometric Experiment,Thí nghiệm hình học,,"a statistical experiment with the following properties: There are one or more Bernoulli trials with all failures except the last one, which is a success. In theory, the number of trials could go on forever. There must be at least one trial. The probability, p , of a success and the probability, q , of a failure do not change from trial to trial.","một thí nghiệm thống kê với các đặc điểm sau: Có một hoặc nhiều thử nghiệm Bernoulli với tất cả các lần đều thất bại ngoại trừ lần cuối cùng là thành công. Về lý thuyết, số lần thử có thể kéo dài vô hạn. Phải có ít nhất một lần thử. Xác suất p của thành công và xác suất q của thất bại không thay đổi từ lần thử này sang lần thử khác.",4,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_key_terms_dl;html_key_terms_dt,2,0.92
Hypothesis,Giả thuyết,,"a statement about the value of a population parameter, in case of two hypotheses, the statement assumed to be true is called the null hypothesis (notation H 0 ) and the contradictory statement is called the alternative hypothesis (notation H a ).","một phát biểu về giá trị của một tham số quần thể, trong trường hợp có hai giả thuyết, phát biểu được giả định là đúng được gọi là giả thuyết không (ký hiệu H 0 ) và phát biểu mâu thuẫn được gọi là giả thuyết đối (ký hiệu H a ).",9,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_key_terms_dl;html_key_terms_dt,2,0.92
Institutional Review Board,Hội đồng Đánh giá Đạo đức Nghiên cứu,,a committee tasked with oversight of research programs that involve human subjects,một ủy ban chịu trách nhiệm giám sát các chương trình nghiên cứu liên quan đến đối tượng con người,1,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_key_terms_dl;html_key_terms_dt,2,0.92
Interval,Khoảng,,also called a class interval; an interval represents a range of data and is used when displaying large data sets,còn gọi là khoảng lớp; một khoảng biểu thị một phạm vi dữ liệu và được sử dụng khi hiển thị các tập dữ liệu lớn,2,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_key_terms_dl;html_key_terms_dt,2,0.92
law of large numbers,định luật số lớn,,,,3;7,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_term_span,2,0.75
Level of Significance of the Test,Mức ý nghĩa của Kiểm định,,"probability of a Type I error (reject the null hypothesis when it is true). Notation: α. In hypothesis testing, the Level of Significance is called the preconceived α or the preset α.","xác suất của sai lầm loại I (bác bỏ giả thuyết không khi nó đúng). Ký hiệu: α. Trong kiểm định giả thuyết, Mức ý nghĩa được gọi là α định trước hoặc α đặt trước.",9,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_key_terms_dl;html_key_terms_dt,2,0.92
Lurking Variable,Biến ẩn,,a variable that has an effect on a study even though it is neither an explanatory variable nor a response variable,một biến có ảnh hưởng đến một nghiên cứu mặc dù nó không phải là biến giải thích cũng không phải là biến phản hồi,1,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_key_terms_dl;html_key_terms_dt,2,0.92
Mean of a Probability Distribution,Trung bình của Phân phối Xác suất,,the long-term average of many trials of a statistical experiment,giá trị trung bình dài hạn của nhiều lần thử nghiệm thống kê,4,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_key_terms_dl;html_key_terms_dt,2,0.92
memoryless property,tính chất không nhớ,,"For an exponential random variable X , the memoryless property is the statement that knowledge of what has occurred in the past has no effect on future probabilities. This means that the probability that X exceeds x + k , given that it has exceeded x , is the same as the probability that X would exceed k if we had no knowledge about it. In symbols we say that P ( X > x + k | X > x ) = P ( X > k ).","Đối với một biến ngẫu nhiên mũ X, tính chất không nhớ là phát biểu rằng kiến thức về những gì đã xảy ra trong quá khứ không ảnh hưởng đến xác suất trong tương lai. Điều này có nghĩa là xác suất X lớn hơn x + k, khi biết nó đã lớn hơn x, giống như xác suất X lớn hơn k nếu chúng ta không có kiến thức gì về nó. Theo ký hiệu, ta nói P ( X > x + k | X > x ) = P ( X > k ).",5,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_key_terms_dl;html_key_terms_dt,2,0.92
Nonsampling Error,Sai số phi mẫu,,"an issue that affects the reliability of sampling data other than natural variation; it includes a variety of human errors including poor study design, biased sampling methods, inaccurate information provided by study participants, data entry errors, and poor analysis.","một vấn đề ảnh hưởng đến độ tin cậy của dữ liệu mẫu ngoài sự biến thiên tự nhiên; nó bao gồm nhiều loại sai sót của con người bao gồm thiết kế nghiên cứu kém, phương pháp lấy mẫu thiên vị, thông tin không chính xác do người tham gia nghiên cứu cung cấp, lỗi nhập dữ liệu và phân tích kém.",1,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_key_terms_dl;html_key_terms_dt,2,0.92
Numerical Variable,Biến định lượng,,variables that take on values that are indicated by numbers,các biến nhận các giá trị được biểu thị bằng số,1,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_key_terms_dl;html_key_terms_dt,2,0.92
Or Event,Sự kiện HOẶC,,An outcome is in the event A OR B if the outcome is in A or is in B or is in both A and B .,Một kết quả thuộc sự kiện A HOẶC B nếu kết quả đó thuộc A hoặc thuộc B hoặc thuộc cả A và B.,3,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_key_terms_dl;html_key_terms_dt,2,0.92
Poisson distribution,Phân phối Poisson,,"If there is a known average of λ events occurring per unit time, and these events are independent of each other, then the number of events X occurring in one unit of time has the Poisson distribution. The probability of k events occurring in one unit time is equal to .","Nếu có trung bình λ sự kiện xảy ra trên một đơn vị thời gian và các sự kiện này độc lập với nhau, thì số sự kiện X xảy ra trong một đơn vị thời gian tuân theo phân phối Poisson. Xác suất xảy ra k sự kiện trong một đơn vị thời gian bằng .",5,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_key_terms_dl;html_key_terms_dt,2,0.92
Probability Distribution Function (PDF),Hàm Phân phối Xác suất (PDF),,"a mathematical description of a discrete random variable ( RV ), given either in the form of an equation (formula) or in the form of a table listing all the possible outcomes of an experiment and the probability associated with each outcome.","một mô tả toán học của một biến ngẫu nhiên rời rạc (RV), được cung cấp dưới dạng phương trình (công thức) hoặc dưới dạng bảng liệt kê tất cả các kết quả có thể xảy ra của một thí nghiệm và xác suất liên quan đến mỗi kết quả.",4,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_key_terms_dl;html_key_terms_dt,2,0.92
Random Variable (RV),Biến Ngẫu nhiên (RV),,"a characteristic of interest in a population being studied; common notation for variables are upper case Latin letters X , Y , Z ,...; common notation for a specific value from the domain (set of all possible values of a variable) are lower case Latin letters x, y, and z . For example, if X is the number of children in a family, then x represents a specific integer 0, 1, 2, 3,.... Variables in statistics differ from variables in intermediate algebra in the two following ways. The domain of the r","một đặc trưng quan tâm trong một quần thể đang được nghiên cứu; ký hiệu phổ biến cho biến là các chữ cái Latinh viết hoa X, Y, Z,...; ký hiệu phổ biến cho một giá trị cụ thể từ miền xác định (tập hợp tất cả các giá trị có thể có của một biến) là các chữ cái Latinh viết thường x, y, và z. Ví dụ, nếu X là số con trong một gia đình, thì x đại diện cho một số nguyên cụ thể 0, 1, 2, 3,.... Các biến trong thống kê khác với các biến trong đại số trung cấp ở hai điểm sau. Miền xác định của biến ngẫu nhiên...",4,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_key_terms_dl;html_key_terms_dt,2,0.92
sample size,kích thước mẫu,,,,7,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_term_span,2,0.75
Sampling Error,Sai số mẫu,,"the natural variation that results from selecting a sample to represent a larger population; this variation decreases as the sample size increases, so selecting larger samples reduces sampling error.","sự biến thiên tự nhiên phát sinh từ việc chọn một mẫu để đại diện cho một quần thể lớn hơn; sự biến thiên này giảm khi kích thước mẫu tăng, do đó chọn các mẫu lớn hơn làm giảm sai số mẫu.",1,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_key_terms_dl;html_key_terms_dt,2,0.92
Sampling without Replacement,Chọn mẫu không hoàn lại,,"A member of the population may be chosen for inclusion in a sample only once. If chosen, the member is not returned to the population before the next selection.","Một thành viên của quần thể chỉ có thể được chọn để đưa vào mẫu một lần. Nếu được chọn, thành viên đó sẽ không được trả lại quần thể trước lần chọn tiếp theo.",1,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_key_terms_dl;html_key_terms_dt,2,0.92
Simple Random Sampling,Chọn mẫu ngẫu nhiên đơn giản,,a straightforward method for selecting a random sample; give each member of the population a number. Use a random number generator to select a set of labels. These randomly selected labels identify the members of your sample.,một phương pháp đơn giản để chọn mẫu ngẫu nhiên; gán cho mỗi thành viên của quần thể một số. Sử dụng một trình tạo số ngẫu nhiên để chọn một tập hợp các nhãn. Các nhãn được chọn ngẫu nhiên này xác định các thành viên trong mẫu của bạn.,1,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_key_terms_dl;html_key_terms_dt,2,0.92
Standard Deviation of a Probability Distribution,Độ lệch chuẩn của Phân phối Xác suất,,a number that measures how far the outcomes of a statistical experiment are from the mean of the distribution,một số đo lường mức độ xa cách của các kết quả của một thí nghiệm thống kê so với trung bình của phân phối,4,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_key_terms_dl;html_key_terms_dt,2,0.92
Standard Error of the Mean,Sai số chuẩn của Trung bình,,"the standard deviation of the distribution of the sample means, or .","độ lệch chuẩn của phân phối các trung bình mẫu, hoặc .",7,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_key_terms_dl;html_key_terms_dt,2,0.92
